HR time management,Personalwesen Zeitverwaltung
Flextime,Gleitzeit
Employee time model,Arbeitszeitmodell Zuweisung
Time model,Arbeitszeitmodell
Flextime account,Gleitzeitkonto
Flextime definition,Definition Gleitzeit
Definition Monday,Definition Montag
Definition Tuesday,Definition Dienstag
Definition Wednesday,Definition Mittwoch
Definition Thursday,Definition Donnerstag
Definition Friday,Definition Freitag
Definition Saturday,Definition Samstag
Definition Sunday,Definition Sonntag,
Working hours,Arbeitsstunden
Core time start,Beginn Kernzeit
Core time end,Ende Kernzeit
Break time handling,Verarbeitung Pausenzeit
{0}: The end of core working time cannot be empty if a start is set.,"{0}: Das Ende der Kernarbeitszeit kann nicht leer sein, wenn ein Beginn gesetzt ist."
{0}: The start of core working time cannot be empty if a end is set.,"{0}: Der Beginn der Kernarbeitszeit kann nicht leer sein\, wenn ein Ende gesetzt ist."
{0}: The end of the core working time must be after the start.,{0}: Das Ende der Kernarbeitszeit muss vor dem Beginn liegen.
Flextime daily status,Gleitzeit Tagesstatus
Employee name,Mitarbeitername
Total working time,Gesamtarbeitszeit
Flextime delta,Kontodifferenz
Current flextime account balance [hours],Aktueller Gleitzeitkontostand [Stunden]
Current flextime account balance,Aktueller Gleitzeitkontostand
Checkin/Checkout list,Anwesenheits- und Pausenzeiten
Time start,Begin
Time end,Ende
Type,Typ
Work time,Arbeit
Break time,Pause
Total time,Gesamtzeit
No workday,Kein Arbeitstag
Checkin event,Protokoll (Ein)
Checkout event,Protokoll (Aus)
Target working time,Sollarbeitszeit
Time gain,Stundenaufbau
Time loss,Stundenabbau
Break time definition,Definition Pausenzeit
Minimal working time,Gilt ab einer Mindestarbeitszeit von
Forced break time,Gesetzliche Pausenzeit
Deducted break time,Von der Arbeitszeit zusätzlich abgezogene Pausenzeit
Applies to minors only,Gilt nur für Minderjährige
Is break,Ist Pause
Trigger HR time management batch jobs,HR Zeitverwaltung Hintergrundaufgaben starten
Process daily flextime status,Starte die Verarbeitung der Gleitzeitkonten
Trigger batch jobs,Hintergrundaufgaben starten
"This break time is deducted if the employee should have taken a break (based on legal requirements) but none was clocked in.","Diese Pausenzeit wird abgezogen, falls der Mitarbeiter eine Pause (aufgrund der gesetzlichen Bestimmungen) hätte nehmen müssen, jedoch keine gestempelt wurde."
Deducted work time (if no break time),Abgezogene Arbeitszeit (bei nicht gestempelter Pausenzeit)
Latest daily status,Letzter Tagesstatus
{0} hour(s),{0} Stunde(n)
{0} minute(s),{0} Minute(n)
Within last month,Im letzten Monat
Checkin status,Aktueller Anwesenheitsstatus
Checked in,Anwesend
Checked out,Abwesend
Break,Pause
Checkin,Status Zeiterfassung
End of work,Arbeitsende/-unterbrechung
Start of work,Arbeitsbeginn/-fortführung
Successfully checked in,Arbeitsbeginn/-fortführung erfolgreich erfasst
Successfully checked out for break,Beginn der Pause erfolgreich erfasst
Successfully checked out for end of work,Arbeitsende/-unterbrechung erfolgreich erfasst
Employees present,Anwesende Mitarbeiter
Current status since,Aktueller Status seit
Work start today,Heutiger Arbeitsbeginn
Show list,Liste anzeigen
Reports,Berichte
Submit,Absenden,checkin
Leaves,Abwesenheit
Shift & Attendance,Schicht & Anwesenheit
Timesheet,Stundenzettel
No time tracking,Keine Zeiterfassung
Employee,Mitarbeiter*in
